,AvNavOchartsProvider settings,"generate:
1. write this file as csv
2. call parseSettings.py",,,,,,,,,,,,,,
,conf,,,,,,,,,,,,,,,
Category,Path,name,ValueMethod,Values,"title
OpenCPN: CanvasOptions.cpp",default,min/ enum values,max/ enum strings,Group,"PLIB_Load S57GlobalConfig
(reconfig from json)","PLIB_Load S57ObjectConfig
(prepare render if hash changed and reconfig from json)","PLIB_Load S57Config
(prepare render if hash changed)",LoadS57Config (init plugin),json name,json type,json necessary
system,/Settings,DebugS57,,,,,,,,,,,X,,,
important,/Settings/GlobalState,bShowS57Text,bool,,Show text,1,,,Main,,,(X),X,OpenCPN S52PLIB ShowText,bool,X
,,bShowS57ImportantTextOnly,bool,,Important Text Only,0,,,Main,X,,X,X,OpenCPN S52PLIB ShowImportantTextOnly,bool,
,,bShowLightDescription,bool,,Light Descriptions,1,,,Main,,,X,X,OpenCPN S52PLIB ShowLightDescription,bool,
,,bExtendLightSectors,bool,,Extended Light Sectors,1,,,Main,,,X,X,,,
,,nDisplayCategory,enum,"enum _DisCat, int",Display Category,79,"68,83,79,77","Base,Standard,All,User Standard",Display,,,(X),X,OpenCPN S52PLIB DisplayCategory,int,X
,,nSymbolStyle,enum,"enum _LUPname, int",Graphics Style,82,"82,76","Paper Chart,Simplified",Display,X,,X,X,OpenCPN S52PLIB SymbolStyle,int,
,,nBoundaryStyle,enum,"LUPname, int",Boundaries,78,"78,79","Plain,Symbolized",Display,X,,X,X,OpenCPN S52PLIB BoundaryStyle,int,
,,bShowSoundg,bool,,Show depths,1,,,Main,,,(X),X,OpenCPN S52PLIB ShowSoundings,bool,X
,,bShowMeta,bool,,Chart Information Objects,1,,,Main,X,,X,X,OpenCPN S52PLIB MetaDisplay,bool,
,,bUseSCAMIN,bool,,Reduced Detail at Small Scale,1,,,Display,X,,X,X,OpenCPN S52PLIB UseSCAMIN,bool,
,,bShowAtonText,bool,,Buoy/Light Labels,1,,,Main,,,X,X,OpenCPN S52PLIB ShowATONLabel,bool,
,,bDeClutterText,bool,,De-Cluttered Text,1,,,Display,X,,X,X,OpenCPN S52PLIB DeclutterText,bool,
,,bShowNationalText,bool,,National text on chart,1,,,Main,X,,X,X,OpenCPN S52PLIB ShowNationalText,bool,
,,S52_MAR_SAFETY_CONTOUR,depth,double,Safety Depth,2.0,0,100,Depth,X,,X,X,,,
,,S52_MAR_SHALLOW_CONTOUR,depth,double,Shallow Depth,3.0,0,100,Depth,X,,X,X,,,
,,S52_MAR_DEEP_CONTOUR,depth,double,Deep Depth,5.0,0,100,Depth,X,,X,X,,,
,,S52_MAR_TWO_SHADES,enum,"Double (1.0,0.0)",Colors,0,"1,0","2Color,4 Color",Display,X,,X,X,OpenCPN S52PLIB ColorShades,double,
,,S52_DEPTH_UNIT_SHOW,enum,"Int (0,1,2)",Depth,1,"0,1,2","Feet, Meters, Fathoms",Depth,X,,X,X,,,
,/Settings/AvNav,chartFont,float,,Text Font Size,1,0.3,5,Display,,,,,,,
,,soundingsFont,float,,Soundings Font Size,1,0.3,5,Display,,,,,,,
,,scale,float,,Scale,2,0.2,5,Display,,,,,,,
,,underZoom,int,,UnderZoom,1,0,4,Display,,,,,,,
,,overZoom,int,,OverZoom,4,1,8,Display,,,,,,,
,,showLights,bool,,Show Lights,1,,,Main,,,,,OpenCPN S52PLIB ShowLights,bool,X
none,???,ColorScheme,,PlugInManager::SetColorSchemeForAllPlugIns,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
none,/Settings/ObjectFilter,viz*,,from s57objectclasses.csv,,,,,,,X,,X,,,
detail,,vizADMARE,bool,,Administration area (Named),,,,,,,,,,,
,,vizAIRARE,bool,,Airport / airfield,,,,,,,,,,,
,,vizACHBRT,bool,,Anchor berth,,,,,,,,,,,
,,vizACHPNT,bool,,Anchor,,,,,,,,,,,
,,vizACHARE,bool,,Anchorage area,,,,,,,,,,,
,,vizBCNCAR,bool,,"Beacon, cardinal",,,,,,,,,,,
,,vizBCNISD,bool,,"Beacon, isolated danger",,,,,,,,,,,
,,vizBCNLAT,bool,,"Beacon, lateral",,,,,,,,,,,
,,vizBCNSAW,bool,,"Beacon, safe water",,,,,,,,,,,
,,vizBCNSPP,bool,,"Beacon, special purpose/general",,,,,,,,,,,
,,vizBERTHS,bool,,Berth,,,,,,,,,,,
,,vizBRIDGE,bool,,Bridge,,,,,,,,,,,
,,vizBUISGL,bool,,"Building, single",,,,,,,,,,,
,,vizBUIREL,bool,,"Building, religous",,,,,,,,,,,
,,vizBUAARE,bool,,Built-up area,,,,,,,,,,,
,,vizBOYCAR,bool,,"Buoy, cardinal",,,,,,,,,,,
,,vizBOYINB,bool,,"Buoy, installation",,,,,,,,,,,
,,vizBOYISD,bool,,"Buoy, isolated danger",,,,,,,,,,,
,,vizBOYLAT,bool,,"Buoy, lateral",,,,,,,,,,,
,,vizBOYSAW,bool,,"Buoy, safe water",,,,,,,,,,,
,,vizBOYSPP,bool,,"Buoy, special purpose/general",,,,,,,,,,,
,,vizCBLARE,bool,,Cable area,,,,,,,,,,,
,,vizCBLOHD,bool,,"Cable, overhead",,,,,,,,,,,
,,vizCBLSUB,bool,,"Cable, submarine",,,,,,,,,,,
,,vizCANALS,bool,,Canal,,,,,,,,,,,
,,vizCANBNK,bool,,Canal bank,,,,,,,,,,,
,,vizCTSARE,bool,,Cargo transshipment area,,,,,,,,,,,
,,vizCAUSWY,bool,,Causeway,,,,,,,,,,,
,,vizCTNARE,bool,,Caution area,,,,,,,,,,,
